date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-04-26,13.4,10.6,10.1,6.8,,,98,83.4,83,68,9.6,7.8,7.5,5.3,16,8.42,8.5,1,36,19,101.58,101.22,101.2,100.82,101.55,101.2,101.18,100.8,40200,36200,36200,32200,2.5,1.8,1.8,1,7.9,0,5.1,3.1,0.1,0,0,0,,05:59:00,20:21:00,14.37,5.98,20.35,4,7,15,15,7,7,,,,,,8,6,5,2,,,,
2021-04-25,12.2,9.23,10.05,7.9,,,97,89.9,85,73,8,7.6,7.5,7,20,11,10.5,1,32,11,100.79,100.66,100.68,100.57,100.77,100.64,100.66,100.55,32200,24675,22550,12900,2.3,1.9,1.7,1.1,8,0,5,3,0.1,7.7,7.7,0,,06:01:00,20:19:00,14.3,6.02,20.32,2,2,11,11,6,7,,,,,,8,7.8,7,6,,,,
2021-04-24,11.6,9.35,9.94,8.3,,,95,91,87,79,8.7,7.9,8.1,7.4,14,9.21,9,4,,,101.04,100.77,100.81,100.59,101.01,100.75,100.79,100.57,32200,25404.2,24150,16100,2.6,2.1,2.1,1.6,8.1,0,4.9,2.9,0,10.9,10.9,0,,06:03:00,20:18:00,14.25,6.05,20.3,2,2,11,11,8,8,,,,,,8,8,8,8,,,,
2021-04-23,14.2,11.54,11.3,8.4,,,89,73.1,74.5,60,8.7,6.8,7.1,5.5,25,16.25,17,9,36,13,101.43,101.24,101.22,101.01,101.4,101.22,101.19,100.99,32200,27075,25750,19300,3,2.5,2.4,1.7,6.7,0,6.3,4.3,1.3,0.3,0.3,0,,06:05:00,20:16:00,14.18,6.08,20.27,5,5,14,14,8,8,,,,,,8,7,4,0,,,,
2021-04-22,15.2,11.77,10.85,6.5,,,93,74.9,75,57,8.6,7.4,7.1,5.6,28,15.92,17.5,7,41,29,101.4,101.27,101.25,101.1,101.36,101.24,101.22,101.08,40200,31183.3,32150,24100,2.9,2.3,2.2,1.5,7.2,0,5.8,3.8,0.8,0,0,0,,06:07:00,20:15:00,14.13,6.12,20.25,6,8,16,16,8,8,,,,,,6,1.7,3,0,,,,
2021-04-21,15,12.03,9.69,4.4,,,87,73.8,74,61,10.2,7.5,7,3.8,37,14.75,19.5,2,45,27,101.97,101.64,101.54,101.11,101.95,101.62,101.52,101.09,32200,32200,32200,32200,3.4,2.6,2.6,1.9,8.3,0,4.7,2.7,0,0,0,0,,06:09:00,20:13:00,14.07,6.15,20.22,6,6,16,16,7,7,,,,,,8,2.2,4,0,,,,
2021-04-20,17,12.16,11.15,5.3,,,88,63.6,65.5,43,9.7,5.2,5.1,0.5,13,8.25,7,1,,,102.38,102.16,102.12,101.87,102.36,102.13,102.1,101.84,40200,35866.7,36200,32200,3.8,2.9,2.8,1.9,6.8,0,6.2,4.2,1.1,0,0,0,,06:11:00,20:12:00,14.02,6.18,20.2,6,6,17,17,7,7,,,,,,2,0.4,1,0,,,,
2021-04-19,19.4,14.28,13.05,6.7,,,78,50.2,54,30,7.3,3.5,3.6,0,23,9.54,12,1,,,102.46,102.27,102.26,102.06,102.43,102.25,102.24,102.04,40200,37533.3,36200,32200,3.6,2.8,2.8,2.1,5,0,8.1,6,3,0,0,0,,06:13:00,20:10:00,13.95,6.22,20.17,6,6,18,18,8,8,,,,,,3,1.1,1.5,0,,,,
2021-04-18,18.1,13.01,11.45,4.8,,,97,65.7,72,47,10.5,6.5,6.8,3.2,14,6.92,7.5,1,,,102.18,102.03,101.97,101.76,102.16,102.01,101.95,101.74,40200,36533.3,36200,32200,3.9,2.9,2.9,1.9,6.5,0,6.5,4.5,1.4,0,0,0,,06:15:00,20:09:00,13.9,6.25,20.15,6,6,19,19,9,10,,,,,,2,0.9,1,0,,,,
2021-04-17,18.7,12.72,11.89,5.1,,,98,68.7,73.5,49,10.5,6.8,6.7,2.8,13,7.17,7.5,2,,,102.42,102.26,102.24,102.05,102.39,102.24,102.21,102.03,40200,35512.5,32150,24100,4,2.8,2.8,1.7,6.1,0,6.9,4.9,1.9,0,0,0,,06:16:00,20:07:00,13.85,6.27,20.12,6,6,18,19,7,9,,,,,,1,0,0.5,0,,,,
2021-04-16,17.9,12.18,11.35,4.8,,,92,70.5,71.5,51,10.6,6.8,6.2,1.9,14,7.17,7.5,1,,,102.47,102.28,102.29,102.11,102.45,102.26,102.27,102.09,40200,29495.8,32150,24100,3.9,2.9,2.9,1.9,6.7,0,6.3,4.3,1.4,0,0,0,,06:18:00,20:06:00,13.8,6.3,20.1,6,6,17,17,7,7,,,,,,1,0,0.5,0,,,,
2021-04-15,17.1,11.61,10.55,4,,,93,68.4,70,47,8.4,5.7,4.8,1.1,16,10.17,9.5,3,,,102.13,102,102.01,101.89,102.11,101.97,101.99,101.86,32200,28487.5,28150,24100,3.7,2.9,3,2.2,7.5,0,5.5,3.5,0.6,0,0,0,,06:20:00,20:04:00,13.73,6.33,20.07,6,6,17,17,6,6,,,,,,1,0.3,0.5,0,,,,
2021-04-14,14.4,9.41,7.9,1.4,,,84,67.8,69,54,6.1,3.7,2.4,-1.3,32,17.79,16.5,1,37,30,102.5,102.2,102.16,101.82,102.48,102.18,102.14,101.8,32200,30512.5,28150,24100,3.5,2.8,2.8,2.1,10.1,0,2.9,0.9,0,0,0,0,,06:22:00,20:03:00,13.68,6.37,20.05,6,6,16,16,6,6,,,,,,1,0.7,0.5,0,,,,
2021-04-13,13.8,9.38,8.45,3.1,,,84,55.4,59,34,6,0.5,-0.2,-6.5,31,16.79,17.5,4,42,29,102.97,102.76,102.73,102.49,102.95,102.74,102.7,102.46,40200,36866.7,36200,32200,3.2,2.7,2.7,2.2,9.6,0,3.5,1.4,0,0,0,0,,06:24:00,20:01:00,13.62,6.4,20.02,5,5,15,15,5,5,,,,,,2,0.5,1,0,,,,
